order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,5641,2024-05-07,452,6,442.65,2655.9,Completed,2026-05-07
2,8181,2024-04-01,129,8,56.18,449.44,Cancelled,
3,9426,2025-11-22,412,1,326.81,326.81,Completed,2026-07-30
4,,2024-11-05,328,9,268.7,2418.3,Pending,
5,6858,2025-05-03,291,9,417.56,3758.04,Pending,
6,5905,2025-04-03,398,2,151.2,302.4,Completed,2025-06-21
7,3095,2026-06-15,310,6,74.19,445.14,Completed,2026-07-18
8,4162,2025-09-16,197,7,301.69,2111.83,Pending,
9,8725,2023-11-26,80,1,393.03,393.03,Completed,2025-11-13
10,1057,2024-01-18,176,5,27.23,136.15,Cancelled,
11,8254,2024-06-11,327,5,403.17,2015.85,Completed,2025-08-02
12,8115,2026-05-21,470,5,256.63,1283.15,Completed,2026-09-02
13,576,2022-11-19,470,3,256.63,769.89,Completed,2025-08-07
14,2418,2024-06-17,401,7,154.45,1081.15,Completed,2026-06-03
15,3101,2024-06-10,373,5,185.28,926.4,Completed,2026-02-25
16,9132,2023-12-27,32,10,483.92,4839.2,Completed,2025-01-11
17,4389,2026-03-02,291,10,417.56,4175.6,Completed,2026-05-23
18,7759,2024-12-19,139,10,392.45,3924.5,Cancelled,
19,6007,2026-03-01,213,6,103.89,623.34,Completed,2026-08-21
20,810,2025-12-14,427,4,123.08,492.32,Pending,
21,6669,2026-07-08,107,7,227.43,1592.01,Completed,2026-08-18
22,6355,2024-11-26,378,8,221.76,1774.08,Completed,2026-08-03
23,8709,2025-10-12,13,8,323.71,2589.68,Completed,2026-07-19
24,9207,2026-03-28,98,1,48.39,48.39,Pending,
25,5875,2026-06-13,228,1,279.82,279.82,Completed,2026-08-22
26,8792,2024-12-05,245,7,304.98,2134.86,Completed,2025-03-15
27,1394,2021-04-04,166,10,188.61,1886.1,Completed,2024-10-29
28,6134,2025-03-14,94,6,193.61,1161.66,Completed,2026-03-09
29,5776,2025-02-15,247,9,303.54,2731.86,Completed,2025-07-13
30,1720,2023-12-29,296,8,451.81,3614.48,Pending,
31,5389,2024-09-19,262,6,413.21,2479.26,Completed,2025-05-17
32,6803,2022-05-17,45,6,416.97,2501.82,Completed,2026-04-23
33,4152,2024-03-10,306,10,234.09,2340.9,Completed,2025-11-02
34,6662,2021-11-15,132,6,462.93,2777.58,Completed,2023-05-31
35,7452,2023-02-26,316,2,167.11,334.22,Completed,2026-05-20
36,5888,2026-05-22,42,8,417.18,3337.44,Completed,2026-08-18
37,3982,2026-04-13,33,6,166.28,997.68,Completed,2026-06-27
