product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Purpose Books 1,Books,388.11,273.69,310,82
2,Brother Sports 2,Sports,222.24,175.02,3990,30
3,Ago Sports 3,Sports,430.01,346.84,761,159
4,Site Grocery 4,Grocery,350.2,202.06,2484,82
5,Face Clothing 5,Clothing,51.62,30.26,4610,131
6,Election Home 6,Home,487.93,361.03,2070,147
7,Dog Grocery 7,Grocery,381.76,180.55,2305,64
8,Chair Grocery 8,Grocery,394.1,299.74,3291,122
9,Since Electronics 9,Electronics,68.42,39.12,2364,125
10,Blue Books 10,Books,227.94,82.91,2628,72
11,Require Beauty 11,Beauty,188.55,64.04,886,22
12,Sit Grocery 12,Grocery,463.75,353.89,4931,170
13,Wait Beauty 13,Beauty,323.71,107.01,201,198
14,Offer Sports 14,Sports,412.27,187.31,1448,179
15,Begin Grocery 15,Grocery,224.49,108.6,3748,59
16,Performance Books 16,Books,117.48,46.42,2264,109
17,Knowledge Toys 17,Toys,279.52,132.11,3300,38
18,Almost Home 18,Home,36.59,25.92,1806,190
19,All Grocery 19,Grocery,414.68,127.75,1832,149
20,Better Grocery 20,Grocery,317.67,239.82,1971,84
21,Discover Books 21,Books,380.25,293.21,2809,34
22,Early Grocery 22,Grocery,180.49,91.1,2948,104
23,Mouth Grocery 23,Grocery,485.5,186.67,4536,69
24,Play Sports 24,Sports,447.09,281.87,947,131
25,Agreement Sports 25,Sports,390.3,142.78,1712,141
26,Option Sports 26,Sports,101.35,50.75,2322,91
27,Decide Home 27,Home,236.03,195.23,629,167
28,Sense Electronics 28,Electronics,26.68,22.61,1624,135
29,Rate Clothing 29,Clothing,81.37,58.97,3278,148
30,Science Grocery 30,Grocery,343.11,161.61,1525,8
31,Offer Books 31,Books,373.66,253.42,1633,162
32,Kind Clothing 32,Clothing,483.92,332.92,812,157
33,Discussion Books 33,Books,166.28,85.35,4304,152
34,List Clothing 34,Clothing,188.38,122.92,4566,135
35,Perform Clothing 35,Clothing,237.43,72.63,646,175
36,Fall Home 36,Home,98.79,41.0,3830,32
37,Table Home 37,Home,69.31,40.81,1417,60
38,True Grocery 38,Grocery,240.47,93.8,4572,183
39,According Grocery 39,Grocery,117.32,45.9,1012,193
40,Song Beauty 40,Beauty,336.56,255.77,2730,142
41,Sure Toys 41,Toys,221.39,186.86,4765,119
42,Collection Beauty 42,Beauty,417.18,252.72,3728,55
43,Save Home 43,Home,351.63,267.76,3128,17
44,Knowledge Home 44,Home,159.62,134.83,3590,196
